simulation	scenario	maxUsers	request	start	startDate	duration	end	count	successCount	errorCount	min	p50	p90	p95	p99	max	avg	stddev	rps	apdex	rating
end2endsimulation	simulations.End2EndSimulation	10	_all	1633367262623	2021-10-04 17:07:42	354.25	1633367616872	6088	6015	73	20	32	40	51	126	1246	37.50	45	16.98	1.00	Excellent
end2endsimulation	null	10	Grant access to Developer principalId	1633367262623	2021-10-04 17:07:42	354.25	1633367293185	10	10	0	29	32	43	44	44	44	33.00	4	0.03	1.00	Excellent
end2endsimulation	null	10	Get artifact by ID	1633367262623	2021-10-04 17:07:42	354.25	1633367616273	6000	5927	73	20	32	39	48	113	507	35.53	22	16.73	1.00	Excellent
end2endsimulation	null	10	Get instance url	1633367262623	2021-10-04 17:07:42	354.25	1633367293070	10	10	0	34	39	57	58	58	58	41.50	7	0.03	1.00	Excellent
end2endsimulation	null	10	Search artifacts	1633367262623	2021-10-04 17:07:42	354.25	1633367293263	10	10	0	28	31	109	115	115	115	41.90	26	0.03	1.00	Excellent
end2endsimulation	null	10	Check instance status	1633367262623	2021-10-04 17:07:42	354.25	1633367293029	18	18	0	31	40	52	70	70	70	42.39	9	0.05	1.00	Excellent
end2endsimulation	null	10	Create artifact	1633367262623	2021-10-04 17:07:42	354.25	1633367293231	10	10	0	34	45	49	50	50	50	44.50	4	0.03	1.00	Excellent
end2endsimulation	null	10	Delete registry instance	1633367262623	2021-10-04 17:07:42	354.25	1633367616872	10	10	0	86	98	240	256	256	256	112.40	50	0.03	1.00	Excellent
end2endsimulation	null	10	Get Developer principalId	1633367262623	2021-10-04 17:07:42	354.25	1633367293153	10	10	0	81	92	503	523	523	523	162.50	148	0.03	1.00	Excellent
end2endsimulation	null	10	Create registry instance	1633367262623	2021-10-04 17:07:42	354.25	1633367291942	10	10	0	836	963	1237	1246	1246	1246	1000.70	125	0.03	1.00	Excellent
end2endsimulation	simulations.End2EndSimulation	10	_all	1633527265351	2021-10-06 13:34:25	355.25	1633527620598	6090	6089	1	13	20	29	37	73	11069	25.47	148	17.14	1.00	Excellent
end2endsimulation	null	10	Get artifact by ID	1633527265351	2021-10-06 13:34:25	355.25	1633527620021	6000	5999	1	13	19	28	36	58	11069	23.49	142	16.89	1.00	Excellent
end2endsimulation	null	10	Search artifacts	1633527265351	2021-10-06 13:34:25	355.25	1633527295748	10	10	0	16	23	32	33	33	33	24.00	5	0.03	1.00	Excellent
end2endsimulation	null	10	Grant access to Developer principalId	1633527265351	2021-10-06 13:34:25	355.25	1633527295674	10	10	0	17	23	39	39	39	39	24.70	8	0.03	1.00	Excellent
